"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"75807","FRB 20210117A","22:39:36.000","-16:11:25.20","FRB","","730","1","pc/cc","34.4","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB210117","","","1","1","","0","Other-","2021-01-17 07:51:21.277","Kumar","",""
"66119","FRB 20200906A","03:35:00.000","-14:04:00.00","FRB","","577.8","0.2","pc/cc","36","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB200906","","","1","1","","0","Other-","2020-09-06 21:40:50.923","Shannon","",""
"65101","FRB 20200627A","21:47:00.000","-39:28:60.00","FRB","","294","1","pc/cc","40","NE2001","","","","","CRAFT","CRAFT","","CRAFT"," FRB 200627","","","1","1","","0","Other-","2020-06-27 19:23:41.644","Shannon","",""
"71560","FRB 20200616A","19:42:07.770","+16:12:32.53","FRB","","976.85","0.5","pc/cc","398.67","NE2001","","","","","PALFA","PALFA","","PALFA","","","","1","1","","0.166","Clear-","2020-06-16 06:31:13.480","Parent","",""
"64995","FRB 20200607A","13:41:30.650","-05:08:24.10","FRB","","466.9","","pc/cc","31","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB200607","","","1","1","","0","Other-","2020-06-07 10:37:21.700","FRBCAT_bot","",""
"64994","FRB 20200508A","09:01:32.390","-65:35:42.70","FRB","","629","","pc/cc","144.9","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB200508","","","1","1","","0","Other-","2020-05-08 07:42:09.500","FRBCAT_bot","",""
"58774","FRB 20200423A","01:58:00.634","+65:43:00.63","FRB","20180916B","349.8","","pc/cc","","NE2001","2020-04-23 20:11:19.680","","","","VLA-realfast","VLA-realfast","","VLA-realfast","TFST0001_TEST_R3_10ms_000.58962.831878599536.8.1_seg12-i424-dm44-dt0","","","1","1","","0.13","Other-","2020-04-23 20:11:19.680","Law","",""
"72787","FRB 20200405A","13:13:27.520","+36:35:37.00","FRB","","212.298","0.5","pc/cc","21.57","NE2001","","","","","VLITE-Fast","VLITE-Fast","","VLITE-Fast","","","","1","1","","0","Other-","2020-04-05 05:34:54.354","Bethapudi","",""
"65034","FRB 20200324C","01:58:00.750","+65:43:00.31","FRB","20180916B","349","","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","0","Other-","2020-03-24 09:31:23.901","FRBCAT_bot","",""
"65033","FRB 20200324B","01:58:00.750","+65:43:00.31","FRB","20180916B","349","","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","0","Other-","2020-03-24 08:28:40.842","FRBCAT_bot","",""
